id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17254922,Spacious and Quite 4 bedroom House,107838071,Wang,,Dunbar Southlands,49.243762528316054,-123.19522098965162,Entire home/apt,239,7,0,,,1,130
13674105,Laneway House in Dunbar,79556939,Alison,,Dunbar Southlands,49.24521171180003,-123.19580299111668,Entire home/apt,101,3,17,2017-04-03,1.78,1,49
17664791,Two Bedroom Suite Near UBC,120233526,Cynthia,,Dunbar Southlands,49.22774183453469,-123.18479766970776,Entire home/apt,121,10,0,,,1,219
14401798,"Spacious, high ceiling, west-side room near UBC",64180850,Charles,,Dunbar Southlands,49.250929938891396,-123.17815344594702,Private room,121,2,0,,,1,0
8650746,"Beautiful home in quiet neighbourhood, near UBC",9214271,Claudine,,Dunbar Southlands,49.23616648863458,-123.17896418743712,Entire home/apt,150,1,48,2017-02-27,2.61,1,233
16143459,Dunbar Suite for December,37848118,Nellie,,Dunbar Southlands,49.24253879733146,-123.1744287009356,Entire home/apt,87,1,1,2016-12-21,0.28,1,218
14791746,Dunbar Room near Pacific Spirit Regional Park,87634611,Meagan,,Dunbar Southlands,49.24771005663218,-123.18770614704809,Private room,101,1,2,2016-09-14,0.28,1,88
16149798,Luxury New 3 Bedroom Coach House,59593841,Anna,,Dunbar Southlands,49.23799390253254,-123.17958587614034,Entire home/apt,268,1,13,2017-03-31,3.31,1,280
16719598,2 story home in quiet residential area,34777923,Carmen,,Dunbar Southlands,49.2443903897443,-123.192989435909,Entire home/apt,160,7,0,,,1,72
12423800,Georgian Colonial near UBC,67199819,Beryl,,Dunbar Southlands,49.25082339420322,-123.18746994598595,Entire home/apt,399,3,22,2017-02-16,1.96,1,329
13809980,Your own lovely little house,73238515,Cora,,Dunbar Southlands,49.234063597759615,-123.19325431386925,Entire home/apt,210,1,15,2017-03-17,1.70,19,230
3908609,New Lanehouse Kerrisdale/UBC/Vancou,20246199,Jessica,,Dunbar Southlands,49.24015894236846,-123.17270126840597,Entire home/apt,135,2,5,2015-08-15,0.18,1,0
11123681,Beautiful Quiet English Heritage Vacation Home,6203239,Darrell,,Dunbar Southlands,49.235427641057065,-123.18625868046772,Entire home/apt,300,4,0,,,1,117
5806702,Sunny east and south facing top floor bedroom,13647506,Don & Trenna,,Dunbar Southlands,49.23511641397406,-123.18086375596536,Private room,101,1,2,2016-09-21,0.29,3,244
6502871,New Family Home: UBC Neighbouhood,28696236,Gabrielle,,Dunbar Southlands,49.23138765635779,-123.19273750870845,Entire home/apt,500,7,0,,,1,0
5297527,Cozy Cottage -private patio/parking,13700291,Terry,,Dunbar Southlands,49.23401747540929,-123.18378124218695,Entire home/apt,150,3,14,2016-08-22,0.56,1,180
10851958,Westside Character Home,18103016,Nicola,,Dunbar Southlands,49.24730852516892,-123.17146951858837,Entire home/apt,450,3,6,2016-12-30,0.57,1,264
7764603,Cosy arts and craft house in Dunbar,40834861,Alexandra,,Dunbar Southlands,49.238543452116566,-123.17965002088141,Entire home/apt,300,3,0,,,1,0
8889470,Best View in Vancouver!,46511401,Jared,,Dunbar Southlands,49.25307694188906,-123.17708997674427,Private room,38,1,0,,,1,0
14030342,Bio Chic Suite -2br near UBC,84004345,D. Maria,,Dunbar Southlands,49.257954255210144,-123.19529016959314,Entire home/apt,99,3,15,2017-03-31,2.10,1,60
6897283,Collingwood Cottage near Dunbar,36141263,TammySean,,Dunbar Southlands,49.25596275487707,-123.18075259681135,Private room,155,10,14,2016-12-31,0.65,2,364
7009401,Luxury Bright Garden Suite Near UBC,5422969,Julie,,Dunbar Southlands,49.246094657971724,-123.18466120881277,Entire home/apt,208,7,13,2016-08-27,0.62,1,93
17623879,Bright garden level at Kerrisdale,75014739,Thomas,,Dunbar Southlands,49.23796594454546,-123.17863093252998,Entire home/apt,80,1,0,,,2,248
13480736,west coast style house in park like setting,77189590,Les,,Dunbar Southlands,49.23001319568332,-123.19690954292415,Private room,59,1,44,2017-02-10,4.58,1,103
14187105,West King Edward Bedroom#1,5164882,Dagmar & Angelo,,Dunbar Southlands,49.25005112345502,-123.18230877992792,Private room,80,3,0,,,2,2
17299993,Entire House at Kerrisdale,75014739,Thomas,,Dunbar Southlands,49.2388868723525,-123.17768179489165,Entire home/apt,250,2,0,,,2,261
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.25709571868323,-123.19101190950293,Entire home/apt,165,3,48,2016-08-24,0.70,2,222
7161541,UBC Endowment Lands basement suite,28585127,Jan,,Dunbar Southlands,49.25468573850136,-123.1950820644216,Entire home/apt,84,2,16,2016-10-03,0.76,1,203
4916307,Private Dunbar Suite with Parking,702188,Ramona,,Dunbar Southlands,49.25436096676551,-123.1881801277521,Entire home/apt,109,1,34,2016-09-05,1.35,1,156
11398350,Luxury Family Home on Park,59814627,Haley,,Dunbar Southlands,49.245075197622306,-123.17213216525616,Entire home/apt,558,4,0,,,1,18
14077912,Luxury one bedroom garden suite,84608877,Alexia,,Dunbar Southlands,49.25738825656007,-123.19463306910149,Entire home/apt,200,2,6,2016-10-17,0.72,2,363
6870806,Pacific Spirit Park House,35654146,Kimberly,,Dunbar Southlands,49.23798223856652,-123.19524898460293,Entire home/apt,1150,3,3,2015-08-09,0.14,1,114
12593594,Modern family home/Vancouver's Dunbar neighborhood,68321264,Nicole,,Dunbar Southlands,49.252615432297986,-123.18167788974166,Entire home/apt,285,2,3,2016-09-04,0.32,1,12
15958042,Queen room-1 near UBC,73238515,Cora,,Dunbar Southlands,49.23576967711273,-123.19487441152039,Private room,50,1,3,2017-03-19,1.00,19,240
4145264,NEW LISTING - UBC/Kerrisdale/Dunbar,21384307,Friedrich & Naomi,,Dunbar Southlands,49.24234182103143,-123.17474118900684,Entire home/apt,80,5,27,2017-03-19,0.96,1,218
14074129,Spacious Basement Suite near U.B.C.,51334828,Colin,,Dunbar Southlands,49.25670565489703,-123.18787851874667,Entire home/apt,101,3,10,2016-10-19,1.17,1,108
12519950,BRAND NEW Luxurious house 5bd + 3ba,58132074,Kelvin,,Dunbar Southlands,49.23639813372492,-123.18321121548597,Entire home/apt,399,2,10,2017-01-02,0.97,3,260
17009219,Modern home in Vancouver's top neighbourhood,8215919,M,,Dunbar Southlands,49.254078720729446,-123.19021131410766,Entire home/apt,324,7,1,2017-03-18,1,1,93
1349965,Beautiful 1 BR Dunbar Apt,7324823,Mike And Kate,,Dunbar Southlands,49.240781427115536,-123.18380265016089,Entire home/apt,125,3,42,2016-10-06,0.93,2,266
15734797,Light filled and cheerful three bedroom house.,1248121,Lori,,Dunbar Southlands,49.25521605503166,-123.17884850712828,Entire home/apt,150,3,3,2017-02-20,0.90,2,2
17407060,Modern One Bedroom in Dunbar,30230430,Cm,,Dunbar Southlands,49.24515060882553,-123.17770646819785,Entire home/apt,125,3,0,,,1,250
2282114,*Lux West Side Oasis*,19916,Cathy + Tom,,Dunbar Southlands,49.23932938063421,-123.18119261498013,Entire home/apt,324,7,7,2017-01-22,0.26,2,161
8539167,Family home in residential area,917069,Stuart,,Dunbar Southlands,49.25060804448009,-123.18743117402566,Private room,101,1,0,,,1,87
16632876,Queen room near UBC-Laneway,73238515,Cora,,Dunbar Southlands,49.234779265470124,-123.19369534903862,Private room,64,1,0,,,19,89
14126267,Private Room Dunbar Area Near UBC,26414769,Shawn,,Dunbar Southlands,49.252793376236795,-123.19136895909206,Private room,50,30,3,2016-09-17,0.38,1,365
7395682,Family Friendly Great Neighbourhood,38655301,Craig,,Dunbar Southlands,49.23824747761217,-123.17950277489513,Entire home/apt,399,3,17,2016-09-05,0.84,1,257
17304833,Yumi's House,116773671,Yumei,,Dunbar Southlands,49.23782859214178,-123.18425202039177,Entire home/apt,99,1,0,,,1,121
951782,West King Edward Suite,5164882,Dagmar & Angelo,,Dunbar Southlands,49.25112912420879,-123.18385898829901,Private room,68,2,11,2016-09-18,0.29,2,133
15455302,"Bright, new basement suite at 32nd & Mackenzie",99153239,Burns Family,,Dunbar Southlands,49.243738260162615,-123.17024468220345,Entire home/apt,110,3,4,2017-03-13,0.74,2,309
16633271,Famliy bedroom near UBC-Laneway,73238515,Cora,,Dunbar Southlands,49.23482469728989,-123.19476101782638,Private room,70,1,1,2017-01-31,0.45,19,89
14472818,VancouverWest Beautiful Single Room,16430042,Linfeng,,Dunbar Southlands,49.250840600092125,-123.18481656088456,Private room,58,7,0,,,2,342
6327822,Westside Spacious Garden Suite,4848251,Jon,,Dunbar Southlands,49.257616871348546,-123.18229901514009,Entire home/apt,84,6,12,2016-07-31,0.55,2,205
14932769,"cozy room 10 min from UBC, Downtown by bus",88074470,Michelle,,Dunbar Southlands,49.253042084832884,-123.19215442866465,Private room,101,1,0,,,1,365
5457913,Spacious one bedroom suite ,10799015,Kathy,,Dunbar Southlands,49.249284852284596,-123.1737796530164,Entire home/apt,90,30,30,2016-07-18,1.23,2,88
7309387,Converted dining room in house,8225046,Cassie,,Dunbar Southlands,49.24551144561038,-123.18444667576838,Private room,35,1,1,2015-08-01,0.05,1,0
12407646,1 BR bsmnt suite for 7 days min.,9248795,Etan,,Dunbar Southlands,49.243688176304175,-123.19660948086522,Entire home/apt,95,7,0,,,1,0
8369226,Private Loft in the Cedars...,40538295,Aimee,,Dunbar Southlands,49.233020935972334,-123.18358044456177,Entire home/apt,88,2,31,2017-04-05,2.00,1,213
16561520,Master suite+den with private bathroom,33187799,UBC Christian Community House,,Dunbar Southlands,49.24039540628544,-123.17355745132281,Private room,64,2,0,,,5,135
17446304,Queen Room-2 near UBC,73238515,Cora,,Dunbar Southlands,49.23621620395187,-123.19505120348131,Private room,64,1,0,,,19,238
2722632,Upscale Garden Suite Close to UBC,13932306,Robyn,,Dunbar Southlands,49.23186264783214,-123.1888022686054,Entire home/apt,115,3,20,2016-08-13,0.56,2,65
15988196,2 Bedroom Spacious Coachhouse Near UBC!,13932306,Robyn,,Dunbar Southlands,49.231585915473964,-123.19090192808939,Entire home/apt,202,7,0,,,2,310
12973581,2BDRM Suite in Quiet Home Near Pacific Spirit Park,71397006,Melodi,,Dunbar Southlands,49.24971388266535,-123.19047790747553,Entire home/apt,145,3,9,2016-08-02,0.86,1,43
11761187,"Spacious rooms, newly updated home, top location!",33187799,UBC Christian Community House,,Dunbar Southlands,49.24083851271933,-123.17170809736778,Private room,251,1,1,2016-08-12,0.13,5,98
2864803,Beautiful Family Home - Dunbar/UBC,13304931,The Redmond Family,,Dunbar Southlands,49.23923634510883,-123.18723249747337,Entire home/apt,375,7,5,2016-08-04,0.15,1,266
7206626,CollingwoodC 1 bedrm Suite near UBC,36141263,TammySean,,Dunbar Southlands,49.254036830088374,-123.179640544029,Entire home/apt,160,180,8,2017-01-14,0.50,2,309
17995862,Cozy room in spacious Dunbar House,73618240,Foster,,Dunbar Southlands,49.24955563986006,-123.18999873634502,Private room,101,1,0,,,1,173
11903247,BRAND NEW  HOUSE 2bd + 1br near UBC,58132074,Kelvin,,Dunbar Southlands,49.23717525719644,-123.1831189408748,Entire home/apt,130,2,21,2017-04-03,1.68,3,280
3090810,Beautiful Family Home - 4 bedrooms,15720456,Elizabeth,,Dunbar Southlands,49.24313855783382,-123.17976346844655,Entire home/apt,290,4,0,,,1,0
10992078,Cozy Modern 2BR Suite Near UBC,37451224,Karen,,Dunbar Southlands,49.253406108610655,-123.177783073999,Entire home/apt,120,2,38,2017-03-19,2.75,1,247
17965717,Westside 5 bedroom + 2 bath,123374782,Cornell,,Dunbar Southlands,49.2531628509523,-123.17471006464586,Entire home/apt,399,3,0,,,1,136
13842809,"Dunbar-best area! near UBC new, large 2 bdrm suite",80332679,Susie,,Dunbar Southlands,49.23634684590265,-123.19421314803718,Entire home/apt,251,4,2,2016-08-14,0.23,1,155
16458504,Vancouver West 800sqft 1Bed Open Half Basement,47449382,Racing中的Aiden,,Dunbar Southlands,49.24183872515676,-123.17531417880038,Private room,88,1,0,,,1,90
2063064,KingEd Garden Suite/Character Home,10557778,Trudy,,Dunbar Southlands,49.25132518605899,-123.17862100278334,Entire home/apt,194,3,63,2016-08-21,1.59,1,94
2570965,*Total Privacy+Separate Entry*,19916,Cathy + Tom,,Dunbar Southlands,49.23900277823019,-123.18095872064356,Private room,80,2,187,2017-04-03,5.25,2,4
17686250,Spacious Dunbar house perfect for family or friend,68159646,Ken,,Dunbar Southlands,49.24917124544117,-123.18971048704456,Entire home/apt,189,3,0,,,1,106
16585897,"Undesignated Heritage Home, Dunbar",32878305,Alexandra,,Dunbar Southlands,49.248359048355375,-123.18525142392062,Private room,46,1,1,2017-02-16,0.59,1,81
